vote,comment
12,طبيعي جدا الايطالي مقيوم غالي و ماذا ستعمل له الجزائر و ماذا ستقدمه له انهم اكثر منا و لا نفوقهم الا بالصبر و البوماضة الصفراء و الدواء الاحمر. طبعا لقد قاموا بالواجب لانقاذ هذا الزائر .
9,تمت ملاحظة أعراض المرض على المصاب لدى وصوله إلى مطار العاصمة الجزائر بينما تم ترحيله إنطلاقا من مطار حاسي مسعود جنوب البلاد.كيفاش إذن سافر هاد السيد من الجزائر العاصمة إلى حاسي مسعود (حوالي 1000كلم)؟!
-16,عادي لأن الجزائر لا تتوفر على مستشفى واحد في البلد كله بمواصفات دولية. و إيطاليا لا تستطيع تركه يموت هناك خوفا من أن ترفع عائلة الإيطالي دعوة ضد الحكومة الإيطالية لو مات.اليوم إكتشفت إنجلترا 3 حالات للمرض لمواطنين عند عودتهم من مصر. يعني تم فضح مصر.المرض سينتشر بسرعة في أوروبا بسبب عودة الطقس البارد لأوروبا
-2,شاهدت الفلم الأمريكي (الوباء) الذي تم إنتاجه سنة 2011 .كل ما توقعه الفلم تحقق إلا فارق واحد هو أنه توقع إنتشار العدوى في أمريكا ليس في الصين أثناء مشاهدتي للفلم توقفت عند خريطة تظهر فيها خريطة للعالم للأماكن المُحتملة للإصابة و كانت الجهة الشرقية المغربية المحايدة للمتوسط ضمن تلك الخريطة ! لذا لا قدر الله إذا كانت هناك مصيبة ستكون من الحدود الشمالية الشرقية ذلك مرده الى تسلل المهاجرين الغير الشرعيين من جميع بقاع العالم من هناك .
21,اذا كنت تقارن الجزائر بالخليج فاعلم ان عدد السكان في الجزائر يقارب عدد سكان الخليج أما صادرات الجزائر من النفط فهي أقل من 1 مليون برميل يوميا والخليج 20 مليون برميل يوميا فمعنى هذا أن دخل الخليجي من النفط يساوي 20 ضعف الجزائري لهذا مقارنتك ليست في محلها باختصار
3,"علماء من ألمانيا جمعوا في دراستهم كافة المعلومات المتوفرة عن مقاومة عائلة فيروس ""كورونا"" التي تصيب البشر والحيوانات، وكذلك استراتيجيات القضاء عليها باستخدام الطرق الكيميائية في المناطق العامة والمؤسسات الطبية.بينت نتائج تحليل 22 دراسة، أن فيروس ""كورونا"" البشري ، تعيش في ظروف درجة حرارة الغرفة على سطح الأشياء المعدنية والزجاجية والبلاستيكية حتى 9 أيام. ويمكن استخدام بيروكسيد الهيدروجين أو هيبوكلوريت الصوديوم في تعقيم هذه الأسطح. وينصح الباحثون ويؤكدون على ضرورة غسل الأيدي بالماء والصابون مرارا وتكرارا بالفرك الجيد لمدة لا تقل عن دقيقة وكذلك الأشياء التي لامسها المصاب."
0,"1hFrance:+27 nouveaux cas confirmés en France, aujourd'hui: +43 nouveaux cas confirmés en France.Le nombre total de cas en France est de 100.1 ساعةفرنسا:+27 حالة جديدة مؤكدة في فرنسا ، اليوم: +43 حالة جديدة مؤكدة في فرنسا.العدد الإجمالي للحالات في فرنسا هو 100"
9,انا أعيش في فرنسا ونقول الله يستر على الناس اجمعين ،وكذلك نقول الحمدلله على كل شيء،‏من ⁧ الأدعية المأثورة عن النبي ‫ﷺ‬ للوقاية من سوء الأمراض والوباء ؛‏“ اللهم إني أعوذ بك من البرص والجنون والجذام ومن سيئ الأسقام”
2,"تثير الأرقام بعض التفاؤل، حيث إنه من جملة العدد الحالي للمصابين البالغ 85 ألفا، تعافى حتى الآن 36500 شخص حسب إحصاء أجرته جامعة ""جونز هوبكنز"""
2,هههههه كاع ممسوقين جابو لعصير اموت المواطن
1,باش غاحربوا كورونا الدوا الحمر ابيتادين امحالش واش كاين عندهم هههههههه ابسط حاجة كيسيفطو عليها بنادم تال الرشيدية ولا فاس
64,دول تتبجح و القوة الإلهية فوق كل شيء؛ انظروا إلى حال شعوبكم كل ما سيُنفق في النووي و غيره يجب إنفاقه على الصحة، التعليم، إصلاح القضاء و أداء الحقوق للساكنة.و هذا المشكل ينطبق على كل الدول العربية و الدول التي تصنف من بين الدول التي في طريق النمو.
45,أنصح إخوتنا اﻻيرانيين. توقفوا عن سب وشتم الصحابة رضي الله عنهم. وتوقفوا عن الطعن في عرض رسول الله صلى الله عليه بسب أمنا أم المؤمنين عائشة رضي الله عنه وارضاها. واخرجوا من سوريا وكفوا أيديكم عن سوريا وأهلها. وسيذهب الله تعالى عنكم الطاعون (كورونا ) واﻻ فلن يبقى منكم أحدا يغلق الباب بعون الله تعالى.
-30,كفى تلفيقا وتزويرا على الشعب الايراني.. العظيم الكريم الشريف المضياف..انا كمسلم سني اعاني من الاسلام الوهابي السني المطبع مع العدوالاسرائيلي البائد.. الذي يبدر الملايير لبث الفرقة حتى بين السنة انفسهم..ناهيك عن تمويل الحروب في سوريا وليبيا وتدمير الشعب اليمني الاعزل..
19,الأخ 2 - صادقو مادا عن فيروس كورونا المتسبب لمتلازمة الشرق الأوسط التنفسية (انفلونزا الإبل) الدي ضرب دول الخليج عام 2012 و تسبب في 282 حالة وفاة، أهو أيضا عقاب من الله؟رجاءا توقفوا عن التنجيم و تفسير كل وباء أو كارثة طبيعية على أنها قصاص رباني هل الابادة التي يتعرض لها مسلموا الروهينغا في بورما عقاب الاهي؟ هل الاضطهاد الدي يتعرض له مسلموا الروهينغا عقاب الاهي؟ هل الحروب و التشريد الدي يعيشه السوريون و الفلسطينيون عقاب الاهي؟ هل الزلازل التي تضرب الجزائر و تركيا عقاب الاهي؟؟؟و مادا عن امريكا و اسرائيل لمادا هده الدول لا تتعرض لعقاب الخالق؟ ما هي الحكمة الربانية وراء تجنيبهم المأسي التي يعيشها المسلمون؟
152,لما انقرضت الكمامات من السوق قال ليك لاتنفع ھھهههههههه ولاش كانت تباع لما ماتنفعش الله يهديكم يا حكومة فاشلة
163,لا خوف عليك وعلى لي بحالك ،تركب في الطيارة وتمشي تداوا بفرنسا ،أما الاغلبية الكادحة الله يحفظها ويشوف من حالها.المستشفيات العمومية كارثية ودون مستوى بلاد كانت تتطلع لتنظيم مونديال 94 !
243,نحن لا نخاف من قدر الله لأننا والحمد لله راضين بما قسمه الله لنا لكننا نطلب من الله أن يسلط هذا الذاء على الأعداء الدين نهبو البلاد وشرذو العباد
7,لا قدر الله فيروس كورونا في المغرب كل الشعب في ذمة الله
83,في عوض ان يطمءن المغاربة ان الحكومة ستتعامل مع لوليات الادوية والصيدليات التي استولت علي مخزون كمامات يتفوه بهدا الكلام السخيف والمضحك عن عدم جدوي ااكمامات فعلا قهرونا
51,خاص اليقظة حنا لتنعرفو بلادنا لجات كورونا غيموت الكثير بحكم طبيعة عيش المغاربة اىلهم لطفك يارب
61,لقد فقدت صبري وثقتي عندما قمتم بتغيير الساعة دون سابق إنذار ولا قدر الله وانتشر الوباء فنحن في رعاية الله .
34, الله ياودي اسي العثماني نخافو كالة مانخافوش نعطيك غير واحد مثال بسيط ياك الشاي لهو مشروب مفضل عند جميع المغاربة وكايجنا من الصين? اوا المغاربة ابقاو بلا اتاي مايقدروش واخا اموتو اوا كي غانديرو باش مانخافوش اسي العثماني?!
96,تبارك الله عليك أسي العثماني إلى كانت الكمامات لا تفيد في شيئ و راك بحالك بحال الكمامات لا تفيد في شيئ وشكرا
34,ايلا جات كورونا الوحيد االي غادي يبقا هو ضو شاعل فقط
56,سؤال، هل توجد كمامات لسد أفواه بعض المسؤولين الذين يكذبون على الشعب ؟؟ وقرار زيادة الساعة أكبر دليل.
30,ناقص العقل هو من يتصرف دون أن يبحث و يتأكد من صحة أي قول سمعه أو فعل رآه.معرفة أن الكمامات الطبية لا تنفع في الوقاية من المرض لا تتطلب سوى بضع دقائق من البحث في مواقع المنظمات الصحية الموثوقة.و الجاهل يلقي اللوم على غيره و يحمله ما يقعه له من إستغلال بسبب إفتقاده لأبسط ميكانزمات التفكير و التحليل السليم.الله يهدي ماخلق...
38,نعم لا خوف علينا من هدا الداء.نحن احسن من فرنسا
28,لا خوف عليك ولا الوزراء لأنكم تتقاضون 90.000أللف درهم كل شهر،لا تكذبوا علينا،ما ذا قدمتم لنا؟لا شيء،هل تعلم سيد الوزير أن الدواء في المغرب أغلى من أوروبا،لم نستطع شراء دواء الزكام،فما بالك بدواء آخر،عند ربنا نخاصمكم
33,كيف نخاف و معنا العثماني و حزبه النزيه الذي لا حجاب بينه و بين الخالق، كيف نخاف من البطالة و الفقر و المرض ،بل كيف نخاف من الظلم ان لم تستحيي فقل ما شئت
38,لا خوف من كورونا . الخوف من العدالة و التنمية.
39,بالأمس قمت بالقدوم من إسبانيا في الباخرة من ميناء الجزيرة الخضراء ولم أجد لا مراقبة ولا أطر طبية سوى ورقة توجد في الباخرة تسمى الورقة الصحية للمسافر يملؤون فيها المسافرون ما يشائون ويقدمونها للشرطة المغربية في الباخرة ويمرون مرور الكرام
22,نسأل الله السلامة أما اليقظة بالحدود فلن تنفع. .المعول عليه لطف الله بشعب هذا البلد ..
13,الخوف منكم ان تجروا الوطن إلى التهلكة أهون من فيروس كورونا.
12,"تحية للجميع،لو طلب مني أن أختار بين نصاءحك ونصاءح الدكتور الأستاذ المقتدر السيد"" الفد""لاخترت نصاءح الفد لأنها سليمة من النفاق ولا ينتظر منها لا جزاءا ولا شكورا.أتمنى أن تقدموا لخطباءكم خطبة موضوعها ""المناعة"" والرضاعة الطبيعية(حولين كاملين) وتغيير نمط العيش....."
18,وزير من عالم اخر. اذا لم تكن الكمامات ضرورية لماذا يضعها الأطباء و المواطنون الصينيون و الجميع في الدول التي تفشى فيها المرض . اذا لم تكن ضرورية لماذا ستشتري الحكومة الصينية 260 مليون كمامة اضافية من الخارج. كفانا استهتار ا . فرنسا و ايطاليا منعت التجمعات ونحن نجتمع في المنازل و المقاهي و المساجد و نحتك ببعضنا. نطلب فقط لطف و رحمة الله اما اذا دخل الفيروس إلى المغرب فسنموت جميعا في ظل التجهيزات الطبية المتواضعة و عدم تدريب و استعداد الأطباء لذلك. كورونا ينتشر بسرعة و هو قاتل و الرئيس الفرنسي قال انه لا مفر من وباء كورونا و انت تقول نحن بخير و سنبقى بخير. سبحان الله
11,عندو الحق لا خوف من الكورونا. متأكد من أقواله.أما أنا لست خائفا على العموم،خوفي على الطبقة الراقية ،الغنية .أصحاب الممتلكات،فالحمد لله هذا المرض يأتي على اليابس والاخضر لا يفرق بين هذا وذاك.أتمنى من الله أن ينجي الجميع، مع الجفاف وقلة اليد لن نخرج منها سالمين.
10,pardon monsieur الثعبان toi corona fort perdona اكبر كورونا في المغرب هي قبه البرلمان
11,الكمامات لا تنفع والصين شيدت مصنع كمامات في ستة ايّام اذا كانت لاتنفعهم لماذا شيدو المصنع أودي المسامحة .
13,وباء كورونا وحكومة المغرب=============================إسمع يا رئيس الحكومة لا تستحمر المغاربة وتكذب عليهم بأن الكمامات لا تنفع ولا حاجة للتفكير في استعمالها ماذا يعني ذلك أنكم تريدون التخلص من الشعب المغربي أثناء هذه الفرصة. أنت طبيب وتكذب المغاربة عوض أن تنصحهم. فاتنة الله على الكاذبين.الحكومة لم توفر حتى شربة ماء لسكان بعض المناطق النائية فكيف أن تحاربوا هذا الوباء إن هو حل ببلادنا. الله هو من يحمينا أما أنتم فلا تقدرون عن شئ سوى نهب المال الشعب والقمع والتفقير والتهجير
5,"في الواقع ارتداء قناع واقي لا فائدة له في الوقت الحالي طالما انه لم يظهر وجود هذا الوباء على أرضنا ، ولكن يجب علينا ألا ننتظر حتى اللحظة الأخيرة للتحضير يجب علينا ان نوجد كل شئ أي نبدا من الان بصناعة الاقنعة الكافية والاماكن المتاحة للاستقبال المرضى عند الضرورة الى قدر الله يصنع ديس الآن أقنعة واقية ضرورية بما يكفي للجميع في بلدنا لديها مخزون كاف متاح للجميع في حالة انتشارتصنيع الاقنعة الكافية لجميع المواطنين الا ننسى أن أمامنا الحجاج الذين سوف ياتون بجماعة من (العمرة أو الحج) قريبا والذين سيعودون إلى بلدنا أيضا من (MRE) القادمين من دولة (إيطاليا) البلد الأكثر تضررا من هذا الوباء ، حتى لا ننسى أن هذا الوباء القاتل فيروس كورونا ""covid19"" يينشر بكثرة في العالم كله باستمرار ويقتل الكثير من الناس حتى ذلك الحين لا يوجد لنا اي علاج متاح في السوق ، هذا هرة اخرى امر أكثر ما يقلق حتى لو لم ينتشر اويأثر شئ بعد في بلدنا نسأل الله السلامة والعافية (والحمد لله والشكر لله اللهم احفظنا يارب امين"
10,هدا راه كرونا ماشي مواطن كفا كدبا وارجع لاهل الا ختصاص
13,الكمامات تنفع في كافة البلدان الا في المغرب لن تنفع الكمامات وماذا ينفع ؟ان نرحب بالمرض كي يدخل باكبر سرعة ممكنة ؟؟؟؟؟
11,الخوف كل الخوف من سياستكم وليس من كرونا
6,كيف يفيد الأطباء ولا يفيد غيرهم. والله ما فهمت شيئا!!!
6,الحمدالله على ما قسم لنا الله نحن راضون ولا نخاف موت .خوفي عليكم يا من نهكة شعب ونهب المال العام ويعيش في رفاهية ولا يبالي بضعيف
5,أنا لي فهمت سي عثماني اش بغا يقصد هو انه كورونا الى جاالمغرب هو نفسه سيصدم من الوضع الكارثي في البلاد وبالأخص المستشفيات التي راءحتها المتعفنة و الميكروبات والفيروسات المتغلغلة فيها جد متطورة على كورونا ويكفي غير زبالة مريكان وحدها ستجعله يفر الى بلد اخر و الله يحفظ الجميع.
4,الحمد لله.سبحان الله حامل هدا المرض. لن تقبله اي دولة ان يعالج في مستشفياتها. سوئ بلاده. الكل سواسية الان. اللهم صلته علئ المفسدين المعتدين.
13,اننا لا نخاف الموت .... اننا كمغاربة نخاف من سياستكم القمعية والتجويعية والتجهيلية...فانتم افتك من فيروس كورونا...
7,"كورونا وصلت حتى المغرب وحبسات , وحكرا هادي مالنا حتى حنى متكونش عندا كورونا ديالنا , بحال الناس كاملين , واحد الحلاق اليوم قالي حنى عندنا المناعة قوية , آخور كيتغدا بكالينطي في الخبز وعايش , مشيت نشري الثوم حيت قاليك كتقوي المناعة , ملقيتاشي , ياك ما حتى الثوم إحتكرتوها ؟؟؟ واضحكوا باش تنساوو الهم شويا , قاليك إلى كتر الهم كيضحك والله ماكدبوا"
6,"فاش زوين هاد الوباء حيت مكيخترش يعني حتى كروش الحرام والطواغيت لي عندنا في المغرب يقدر يديهم بحال السلام عليكم,اللهم يا ربي احفظ الشعب المغربي المفقر المهلوك المنكوب من هذا الوباء يا رب العالمين"
3,"الهم الى كثر تيظحك هدا مايمكن ان اقوله للسيد رئيس الحكومة"" الكمامات لاتفيد في شيء"" بحالا تيكول لينا سيري موتو ملي مصالحة حتى الشيحاجة علاش الصين بنات وزين خاص غير لصنع الكمامات علاش تفقدو في السووق علاش وصلات 100دولار في امريكا 70 اورو في ايطاليا اما المغرب الفرماسيان غد يعطيها غير لكليان ديالوو الام كنتيش كليان اكول ليك مقطوعة الله يسترنا اوصافي"
5,الغباء يتحدث؛ سبحان الله إذا الكمامات لا تفيد فما المفيد يا دكتور
5,ليس هناك مراقبة طبية في المطارات كذب يطلبون من المسافرين ملء ورقة قادم من البلد الفلاني وكفى
0,ليكن في علم العالم ان كورونا او غيرها لن يصيب المغربان سر المغرب عجيب ومنطقي ومعجزة الاسلام القرانان المغرب مربع بالقران الكريم يتلى في الفجر والمغربشكرا لجميع الاخوان على تعاليقهم
0,Confirmation du 1er cas en Equateur.تأكيد الحالة الأولى في الإكوادور.États-unis: Le gouverneur de l'État de Washington décrète l'état d'urgence à cause du virus COV19.الولايات المتحدة: يعلن حاكم ولاية واشنطن حالة الطوارئ بسبب فيروس COV19.
0,بهذا التدخل لرئيس الحكومة ساورني الشك بأنه طبيب نفساني الخوف ليس من (كورونا) بل من برامجكم الاستعجالية
-2,سمعت عنها كثيرا من خلال الأخبار ومن خلا كدلك ندوات المختصين في الصحة العالمية واللقاءات عبر الشاشات العالمية لكن لا وجود لعلامات ولا ادلة مضبوطة وحقيقية عن وجودها الا بعض التكهنات والتصريحات الغير دقيقة علميا وفايزيولوجيا . اللهم تخويف العالم للتحكم في الاقتصاد والمال عبر وهم الوباء .
-24,الدولتين الوحيدتين التي قتل فيها عدد كبير بسبب كورونا هما الصين وإيران أما الأولى فالشيوعية والإلحاد وأكل جميع المحرمات وكل شيء فيها مباح إضافة إلى اضطهاد المسلمين فيها والثانية الشيعية الرافضة بسببها مات العديد من المسلمين ودمرت سوريا والعراق واليمن ولبنان وووو عفانا الله وإياكم
88,في فرنسا الإصابة رقم واحد بكورونا مواطن لم يسافر لأي دولة.. فلماذا لا تبادر وزارة الصحة بتوعية المواطنين بوصلات اشهارية ومن ظهرت فيه شبه تلك الأعراض المرتبطة بالفروس يتصل برقم خاص تعلن عنه الوزارة ؟؟؟
32,راه لا يعقل أن يكون هناك بلد لم يكن مواطنيه في الصين و الفيروس استطاع الدخول إليهوبلد اخر كان له العديد من المواطنين داخل < بؤرة الفيروس > و لم يصبه
97,"من يستحودون على مخزون الكمامات الطبية في المغرب، هم من يقف وراء الإشاعة. يجب على ""الدولة"" أن تحجز على المستودعات التي تحتكر بيع الكمامات الطبية بأثمنة خيالية"
55,الحقيقة الوحيدة لا قدر الله. أنه ادا ما دخل البلاد سوف نعيش في دوامة بسبب بسيط فقدان الكمامات الواقية وخير دليل التقرير المنجز من 2m البارحة يبين ادا ما وجدت كمامة وهو أمر شبه مستحيل فسعرها ما بين 75 و 100 درهم.مادا تقول المحكومة في هدا الوضع ؟ اشاعات
42,الوباء سيدخل بفعل السياح٠٠٠٠٠٠احب من اجب وكره من كره ٠٠٠٠يجب ان نضحي بسياحة من اجل الوطن٠٠٠٠٠٠يجب المزيد من الشجاعة في الوقت الراهن لان الوقاية اقل تكلفة من العلاج٠٠٠٠٠٠٠٠٠٠فرض التاشيرة على الاجانب اصبح امر ضروري٠٠٠٠٠
"45
 ",كذب كذب ... إذا كانت الحكومة تكذب خبر فقدان الماسك الطبي ..وتتوعد ناشري الاشاعة بالعقاب ... فلماذا لا يوجد في الصيدليات .في رأيي ان المرض منتشر في المغرب وبدون إحصائيات ... اللهم أجرنا في مصيبتنا.
-5,"مخطط تدبير أزمة ""كورونا"" مخطط صهيوأمريكيإنها حرب جرثومية ((حرب ضد اقتصاد الصين)) اقتصاد الصين تتطور بسرعة خيالية وهذا ما تخاف منه بني صهيون وأمريكاهذا الفيروس كورونا هو فيروس اصطناعي مكون من أربعة مكروبات احداهما لها علاقة بالسيداالنظام الصهيوأمريكي مبني على الأوساخ الغش الخداع والنفاق نطلب الله السلامة والعافيةاللهم اضرب الظالمين بالظالمين وأخرجنا من بينهم سالمين"
4,يخيل الي ان المغاربة ينتظرون بفارغ الصبر وصول الوباء..يتنافسون في صنع الاشاعات والتهريج..
17,واش المغاربة ساكنين في المريخ باش يجي من يصف لهم حالة بلادهم ومسؤوليها تبارك الله على المغرب و صافي وغير لما بغا يجي يداوا ورا الدواء غير مدفك وحسن الاستقبال والنظافة.والحصول كما قال ناس زمان لهلا دخل ش مسلم لا للحبس ولا للطبيب في هذا البلاد
3,"Confirmation du 1er cas au Qatar. La maladie se repand vite au Moyen-Orient. Cela sera catastrophique au Yémen, Irak, Afghanistan, Egypte et Syrie.تأكيد الحالة الأولى في قطر. ينتشر المرض بسرعة في الشرق الأوسط. ستكون هذه كارثة في اليمن والعراق وأفغانستان ومصر وسورياAucun cas confirmé en Turquie.لا توجد حالات مؤكدة في تركيا"
12,نعرف جيدا عقلية مسؤولينا وكذا شعارنا المعروف قولوا العام زين قولوها....،من له عقل سيدرك تكتم على وفايات مشكوكة لبست قناع التكتم عوض كمامات كورونا بلد سياحي+ استيراد من أماكن الوباء الصين....،ونعلم ايضا اذا أعلن الوباء في المملكة ستكون الهلكة،هلكة الاقتصاد :السيارات ستبقى ساكنة في مدارجها ولا دولة ستساومها زد على ذلك الخضروات واليكم والفسفاط والحركة السياحية ،ستكون السكتة القلبية لذلك سيتكومون وامهم على ذلك لقادرون
14,المغرب يعرف نفسه انه واقف بعكاز٠٠٠لابنية تحتية جيد لا مستشفيات ٠لا تعليم لا قوانين لا إعلام معقول ٠٠٠٠٠٠يستخدم فقط حل الترقيع و مكاين والو وحنا احسن بلاد و متكلمش راه حيوط يسمع٠٠لهدا فهو مرتبكا ان يعرى و ويكتشفه الكبير وصغير ٠٠٠٠٠ هده هي الحقيقة بلدنا لايهتم بالوطن والمواطنين ٠فقط من تعطيه الفرصة ينهب ويسرق و وتحايل على قوانين ٠٠٠ووقولك ٠٠٠مالي شغلي كلشي يسرق ندبر على راسي٠٠٠ولايوجد مؤسسات تسير بصرامة
11,عدم النضج الكافي هو فتح الباب لكل من هب ودب للدخول الى البلاد، في تقليد اعمى للماما فرنسا التي تحصد نتائج تهاونها وتساهلها ..منع السياحة والوافدين القادمين الى البلاد من المناطق المؤبؤءة .تقليل حركة التتقل للمواطنين خارجيا ،صحيح ان لوبيات السباحة سبثاترون ولكن لن يكون ثاثرهم كبيرا لغاية 27 ابريل كموعد لانتاج دواء للوباء، الصحة افضل من دولارات السياحة الدول التي تحترم نفسها اغلقت الحدود اما المتابعة القضائية لكل من حاول توضيح الامور فاعتقد اننا سنسقط في نفس خطا الصين لتهوينها حجم الكارثة وتجاهل نداء طبيب صيني، رايء هو زيادة ميزانية الصحة اما من وزارة الاوقاف والثقافة .ومنع السفر والقادمين ..كما فعلت السعودية حتى مع مواطني الخليج بعض الدول لديها كفاءات في استشعار حجم المسؤولية والبعض لا..
10,أروبا وكثير من بقاع العالم زلزلت وأرعبت وتكاتفة لاجل التصدي لهدا الوباء اما عنا نحن فهي فرصة بزنس من قلة قليلة تبيع وتشتري في الوطن امام اعلى سلطة متلقيتا إشارة الضوء الاخضر كالعادة
2,"جيناسي هاسبل مديرة وكالة الاستخبارات الأمريكية تنفي اعتبار ""كرونا"" سلاحا بيولوجيا استخدم من طرف جهة ما.وعلى كل حال فتيار المبادلات و اللوجستيك بين أمريكا و الصين لا يمكن التحكم فيه."
6,لا لا لا خلي الحكومة ان تنام براحتهم حتى ان ينتشر هذا الفيروس القاتل عاد أن يقفون أمام الواقع ويقولون إن للاه وليها راجعون. نعم المغرب لها اقوام ما سيحاربون المغرب أقوى من الصين لها تقنيات عالية لا تخافون. أيها الحكومة لا تكذب على الشعب مرشحكم. هناك اعداد الناس من ايطاليا دخلوا إلى المغرب بغير المراقبة .هناك أبواب آخر من البواخر .الفيروس سيدخل سيدخل
11,الفيروس موجود في المغرب ولكن حتى التكتم موجود. كيف يعقل الحدود مفتوحة لمن هل ودب للمسافرين القادمين من إيطاليا والصين والشرق الأوسط بؤر تفشي الفيروس في غياب أي فحص على نقاط الحدود ومع ذلك صفر حالة ؟هناك دول رغم إغلاقها لحدودها وإمكانياتها المتقدمة في الفحص والكشف والعلاج انتشر فيها الوباء.بركا من الكذب والضحك على عقول الناس يا مسؤولين. أنتم فقط وتحاولون إخفاء ورقية القطاع الصحي. حكومة فاشلة بكل المقاييس.لم تستطيعوا حتى إصدار قرار بغلق الحدود على القادمين من بؤر الفيروس لأنكم لا تملكون أي قرار. أنتم فقط كراكيز من ورق.حالة في الجزائر ونيجيريا أصلها إيطاليا وتسمحون برسو سفينة ضخمة محملة بالمئات من المسافرين من إيطاليا. عجيييييييب...
 4,"France:+16 nouveaux cas confirmés.Il y a en tout 73 cas confirmésLa France impose des mesures contre virus COV19:Interdiction de rassemblement au dessus de 5 000 personnes. Plusieurs festivités, foires, salons sont annulés.فرنسا:+ 16 حالة مؤكدة جديدة.هناك ما مجموعه 73 حالة مؤكدةتفرض فرنسا تدابير ضد فيروس COV19:فرض حظر على التجمعات فوق 5000 شخص. تم إلغاء العديد من الاحتفالات والمعارض والعروض"
12,ليس هناك لا استعدادات ولاهم يحزنون.....الحكومة ناعسة بكل ما تحمله الكلمة من معنى ...في الوقت الذي تغلق جميع الدول مطاراتها وموانءها ومراقبة مستمرة لكل صغيرة وكبيرة.....نرى ان المغرب ابوابه مفتوحة عن اخرها كيف لدولة تحترم مواطنيها ان تقيم رالي به عناصر قادمين من دول تفشى فيها الوباء اليس هذا قمة الاستهتار ...السياح يتوافدون على المغرب اللهم من منعت دولهم من مغادرة اوطانهم .....المواطن المغربي لا قيمة له .....
16,الجمعة خطب الشيخ و قال لي فيه غير زكام ولا ضربو البرد يصلي في بيته . غسل اليدين 20 ثانية. ماتسلمش لا بحنكك ولا يديك . لا مقاهي و لا سينما ولا تجمعات مهنية وحتى الملاعب الرياضية . و نصح الأولاد في المدارس لا يقتربو من احد لي فيه الكحًً السعال الزكام. والله يحفظ الجميع
